,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
344,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,8031.0,8137.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
345,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
346,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
347,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,0.0,763.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
348,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,6.0,722.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
349,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,2070.0,2040.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
350,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
351,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
352,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,1689.0,1774.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
353,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,11796.0,13436.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
355,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,240.0,2100.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
356,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
357,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
358,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
359,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,3867.0,4036.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
360,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,4107.0,6136.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
362,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,8000.0,8000.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
363,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,40,Rezervat e kapitalit,0.0,0.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
364,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,0.0,-311.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
365,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,-311.0,-392.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
366,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit,0.0,3.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
367,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,7689.0,7300.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
368,11,2021-03-31,2021-03-31,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve,11796.0,13436.0,1,cre_bs_31.03.2021.xlsx,Credins Bank,2026-03-18
60,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi,0.0,3.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
69,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,-311.0,-380.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
70,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,11,Provizionet për humbjet nga kreditë,-0.0,-12.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
71,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,-311.0,-392.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
72,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,15,Shpenzimet e tatimit në fitim,-0.0,0.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
73,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,-311.0,-392.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
74,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,17,Të ardhurat tjera gjithëpërfshirëse,0.0,0.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
75,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,19,Gjithsej të ardhurat gjithëpërfshirëse,-311.0,-392.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
61,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,2,Shpenzimet e interesit,-26.0,-35.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
62,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,3,Neto të hyrat nga interesi,-26.0,-32.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
63,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,4,Të hyrat nga tarifat dhe komisionet,0.0,4.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
64,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,5,Shpenzimet e tarifave dhe komisioneve,-0.0,0.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
65,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,6,Neto të hyrat nga tarifat dhe komisionet,0.0,4.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
66,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,7,Neto të hyrat nga tregtimi,0.0,0.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
67,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,8,Neto të hyrat nga instrumentet tjera financiare,0.0,0.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
68,11,2021-03-31,2021-03-31,INCOME_STATEMENT,INCOME,9,Neto të hyrat (shpenzimet) tjera operative,-285.0,-351.0,1,cre_is_31.03.2021.xlsx,Credins Bank,2026-03-18
456,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në/ Cash and balances with CBK/ Bilans gotovine sa CBK,8031.0,3805.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
457,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave/ Claims on banks/ Potraživanja bankama,107.0,3868.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
459,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë/ Investment Securities/ Hartije od vrednosti,763.0,2798.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
460,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve/ Loans and advances to customers/ Plasmani klijentima,722.0,3601.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
461,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet/ Property and equipment/ Imovina I oprema,1998.0,1989.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
462,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme/ Intangible assets/ Nematerijalna aktiva,0.0,40.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
463,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra/ Deferred tax assets/ Odložena poreska sredstva,0.0,0.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
464,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera/ Other assets/ Ostala aktiva,1816.0,1828.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
465,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë/ Total assets/ Ukupna aktiva,13436.0,17928.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
467,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve/ Customer deposits/ Depoziti klijenata,2100.0,6946.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
468,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave/ Due to banks/ Obaveze prema banci,0.0,0.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
470,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra/ Deferred tax liabilities/ Odlozene poreske obaveze,0.0,0.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
471,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera/ Other liabilities/ Druge obaveze ,4036.0,1774.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
472,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet/ Total liabilities/ Ukupne obaveze ,6136.0,8720.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
474,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar/ Share capital/ Deoničarske akcize,8000.0,10130.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
475,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,39,Primi I aksioneve/ Share premium/ Akcionarska premija,0.0,170.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
477,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake/ Retained profit/loss from previous years/ Nerasporedena dobit/gubitak iz prethodnih godina,-311.0,-311.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
478,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual/ current year profit/loss/ gubitak iz prethodnih godina,-392.0,-810.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
479,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit/ Other equity capital components/ Ostale komponente akcijskog kapitala ,3.0,29.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
480,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve/ Total shareholder's equity/ Ukupni kapital deoničara,7300.0,9208.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
481,11,2021-06-30,2021-06-30,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve/ Total liabilities and shareholder's equity/ Ukupne obaveze i kapital deoničara,13436.0,17928.0,1,cre_bs_30.06.2021.xlsx,Credins Bank,2026-03-18
131,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,1,Të hyrat nga interesi/ interest income/ kamatni prihod,3.0,31.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
140,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat/ Total income / Ukupna dobit,-380.0,-736.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
141,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,11,Provizionet për humbjet nga kreditë/ Impairment losses on loans/ Gubici na problematičnim kreditima,-12.0,-74.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
142,11,2021-06-30,2021-06-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit/ Profit/(loss) before taxation/Profit / (gubitak) pre oporezivanja,-392.0,-810.0,1,cre_is_30.06.2021.xlsx,Credins Bank,2026-03-18
