,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_TYPE,STATEMENT_TYPE,REPORT_DATE,EXTRACTION_DATE,DATA_SOURCE,CATEGORY_CODE
0,Paraja e gatshme dhe gjendja me BQK-në,194448,202370,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,20
1,Kërkesat ndaj bankave,69259,71418,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,21
2,Bonot e thesarit,0,0,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,22
3,Investimet në letra me vlerë,170718,170885,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,23
4,Kreditë dhe paradhëniet ndaj klientëve,1130,91,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,26
5,Patundshmëritë dhe pajisjet,11451,12447,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,27
6,Pasuritë e paprekshme,1520,1856,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,28
7,Pasuritë tatimore të shtyra,614,729,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,29
8,Pasuritë tjera,4007,6132,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,30
9,Gjithsej pasuritë,1582,108,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,31
10,Depozitat e klientëve,1237,757,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,32
11,Detyrimet ndaj bankave,125646,85081,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,BALANCE,BALANCE_SHEET,2026-03-18,2026-03-18,NLB Bank,33
12,Të hyrat nga interesi,52850,71706,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,1
13,Shpenzimet e interesit,-12731,-17704,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,2
14,Neto të hyrat nga interesi,40118,54002,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,3
15,Të hyrat nga tarifat dhe komisionet,12628,17627,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,4
16,Shpenzimet e tarifave dhe komisioneve,-4472,-6054,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,5
17,Neto të hyrat nga tarifat dhe komisionet,8156,11573,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,6
18,Neto të hyrat nga tregtimi,453,643,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,7
19,Neto të hyrat nga instrumentet tjera financiare,-79,-133,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,8
20,Neto të hyrat (shpenzimet) tjera operative,-16895,-22610,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,9
21,Gjithsej të hyrat,31754,43475,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,10
22,Provizionet për humbjet nga kreditë,1849,1484,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,11
23,Shpenzimet e tatimit në fitim,-3453,-4560,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,15
24,Të ardhurat tjera gjithëpërfshirëse,-139,-182,2026-03-18,Pasqyrat Financiare 31 Dhjetor 2025.pdf,INCOME,INCOME_STATEMENT,2026-03-18,2026-03-18,NLB Bank,16
25,Paraja e gatshme dhe gjendja me BQK-në,63186,51460,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,20
26,Kërkesat ndaj bankave,77113,68529,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,21
27,Bonot e thesarit,0,0,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,22
28,Investimet në letra me vlerë,60521,66661,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,23
29,Kreditë dhe paradhëniet ndaj klientëve,246547,253425,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,26
30,Patundshmëritë dhe pajisjet,10573,12467,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,27
31,Pasuritë e paprekshme,538,508,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,28
32,Pasuritë tatimore të shtyra,297,297,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,29
33,Pasuritë tjera,2362,2529,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,30
34,Gjithsej pasuritë,461137,455877,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,31
35,Depozitat e klientëve,398346,392772,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,32
36,Detyrimet ndaj bankave,5269,4019,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,BALANCE,BALANCE_SHEET,2014-06-30,2026-03-18,NLB Bank,33
37,Të hyrat nga interesi,6397,13006,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,1
38,Shpenzimet e interesit,-2843,-5537,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,2
39,Neto të hyrat nga interesi,3554,7469,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,3
40,Të hyrat nga tarifat dhe komisionet,1219,2603,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,4
41,Shpenzimet e tarifave dhe komisioneve,-261,-517,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,5
42,Neto të hyrat nga tarifat dhe komisionet,958,2086,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,6
43,Neto të hyrat nga tregtimi,0,0,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,7
44,Neto të hyrat nga instrumentet tjera financiare,99,172,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,8
45,Neto të hyrat (shpenzimet) tjera operative,-2555,-5260,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,9
46,Gjithsej të hyrat,2057,4466,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,10
47,Provizionet për humbjet nga kreditë,-585,-1416,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,11
48,Shpenzimet e tatimit në fitim,-147,-311,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,15
49,Të ardhurat tjera gjithëpërfshirëse,0,0,30.06.2014,Pasqyrat Financiare 30.06.2014.pdf,INCOME,INCOME_STATEMENT,2014-06-30,2026-03-18,NLB Bank,16
50,Paraja e gatshme dhe gjendja me BQK-në,49353,44235,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,20
51,Kërkesat ndaj bankave,91210,53960,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,21
52,Bonot e thesarit,0,0,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,22
53,Investimet në letra me vlerë,50657,62831,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,23
54,Kreditë dhe paradhëniet ndaj klientëve,258047,279935,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,26
55,Patundshmëritë dhe pajisjet,12174,11946,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,27
56,Pasuritë e paprekshme,426,464,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,28
57,Pasuritë tatimore të shtyra,177,177,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,29
58,Pasuritë tjera,2206,2376,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,30
59,Gjithsej pasuritë,464251,455924,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,31
60,Depozitat e klientëve,399246,391978,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,32
61,Detyrimet ndaj bankave,2616,1363,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,BALANCE,BALANCE_SHEET,2015-06-30,2026-03-18,NLB Bank,33
62,Të hyrat nga interesi,6314,12980,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,1
63,Shpenzimet e interesit,-1334,-2492,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,2
64,Neto të hyrat nga interesi,4980,10488,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,3
65,Të hyrat nga tarifat dhe komisionet,1322,2751,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,4
66,Shpenzimet e tarifave dhe komisioneve,-297,-625,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,5
67,Neto të hyrat nga tarifat dhe komisionet,1025,2126,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,6
68,Neto të hyrat nga tregtimi,0,0,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,7
69,Neto të hyrat nga instrumentet tjera financiare,211,327,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,8
70,Neto të hyrat (shpenzimet) tjera operative,-3177,-6590,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,9
71,Gjithsej të hyrat,3039,6351,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,10
72,Provizionet për humbjet nga kreditë,-1131,-2399,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,11
73,Shpenzimet e tatimit në fitim,-191,-395,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,15
74,Të ardhurat tjera gjithëpërfshirëse,0,0,30.06.2015,Pasqyrat Financiare 30.06.2015.pdf,INCOME,INCOME_STATEMENT,2015-06-30,2026-03-18,NLB Bank,16
75,Paraja e gatshme dhe gjendja me BQK-në,48961,49564,30.06.2016,Pasqyrat Financiare.pdf,BALANCE,BALANCE_SHEET,2016-06-30,2026-03-18,NLB Bank,20
76,Kërkesat ndaj bankave,42627,33250,30.06.2016,Pasqyrat Financiare.pdf,BALANCE,BALANCE_SHEET,2016-06-30,2026-03-18,NLB Bank,21
77,Bonot e thesarit,0,0,30.06.2016,Pasqyrat Financiare.pdf,BALANCE,BALANCE_SHEET,2016-06-30,2026-03-18,NLB Bank,22
78,Investimet në letra me vlerë,61838,53784,30.06.2016,Pasqyrat Financiare.pdf,BALANCE,BALANCE_SHEET,2016-06-30,2026-03-18,NLB Bank,23
