,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
1537,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,129451,98714,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1538,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,56799,45950,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1539,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,4152,9441,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1540,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,107727,104413,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1541,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,459282,462292,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1542,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,17873,17926,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1543,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,998,1253,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1544,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,16,12,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1545,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,9508,11085,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1546,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,785806,751086,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1547,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,649570,628483,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1548,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,260,323,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1549,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,24545,24545,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1550,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra,141,141,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1551,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,21178,21813,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1552,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,695694,675305,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1553,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,55550,60550,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1554,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,40,Rezervat e kapitalit,511,511,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1555,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,31133,6133,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1556,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,3057,8692,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
1557,2,2013-06-30,2013-06-30,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit,-140,-105,1,pcb_bs_30.06.2013.pdf,ProCredit Bank,2026-03-18
