,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,STATEMENT_TYPE,BANK_ID,CURR_ID,CATEGORY_TYPE,DATA_SOURCE,EXTRACTION_DATE,REPORT_DATE
0,Të hyrat nga interesi / Interest income,1.0,638.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
1,Shpenzimet e interesit / Interest expense,0.0,0.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
2,Neto të hyrat nga interesi / Net interest income,1.0,75.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
3,Fee and commission income,9.0,7.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
4,Fee and commission expense,0.0,0.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
5,Net fee and commission income,6.0,4.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
6,Net trading profit,0.0,0.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
7,Net other operating income (expense),0.0,0.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
8,Gjithsej të hyrat/Total income,0.0,9.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
9,Impairment losses on financial assets,0.0,0.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,11,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
10,Fitimi/(humbja) para tatimit / Profit/(loss) before taxation,0.0,7.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,14,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
11,Fitimi/(humbja) neto / Net profit/(loss),0.0,7.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,16,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
12,Total comprehensive income/(loss),-46.0,71.0,2025-06-30,Bilanci-dhe-Treguesit-financiar-TM2-2025.pdf,19,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2025-06-30
13,Të hyrat nga interesi / Interest income,1.0,863.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,1,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
14,Shpenzimet e interesit / Interest expense,0.0,0.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,2,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
15,Neto të hyrat nga interesi / Net interest income,1.0,260.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,3,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
16,Fee and commission income,1.0,2.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,4,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
17,Fee and commission expense,0.0,0.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,5,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
18,Net fee and commission income,6.0,1.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,6,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
19,Net trading profit,1.0,0.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,7,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
20,Net other operating income (expense),0.0,0.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,9,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
21,Gjithsej të hyrat/Total income,0.0,0.0,2024-09-30,Bilanci-dhe-Treguesit-financiar-TM3-2024.pdf,10,INCOME_STATEMENT,12,1,INCOME,PriBank,2026-03-18,2024-09-30
