,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
604,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,10,8,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
605,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,55,102,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
606,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
607,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
608,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,0,978,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
609,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,637,384,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
610,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,494,760,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
611,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
612,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,0,241,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
613,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,11,11,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
614,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,13,1,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
615,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
616,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
617,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
618,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,1,17,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
619,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,1,1,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
620,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,10,10,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
621,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,40,Rezervat e kapitalit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
622,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
623,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,133,414,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
624,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
625,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,10,10,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
626,9,2015-03-31,2015-03-31,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve,11,11,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
500,9,2015-03-31,2015-03-31,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,0,133,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-18
501,9,2015-03-31,2015-03-31,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,0,133,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-18
502,9,2015-03-31,2015-03-31,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,0,133,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-18
627,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,8,6,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
628,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,102,46,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
629,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
630,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,23,Investimet në letra me vlerë,0,3,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
631,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,26,Kreditë dhe paradhëniet ndaj klientëve,978,2,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
632,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,27,Patundshmëritë dhe pajisjet,384,594,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
