BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Kërkesat ndaj bankave,10192.0,9208.0,2013-06-30,be_bs_30.06.2013.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,10909.0,13853.0,2013-06-30,be_bs_30.06.2013.pdf,22,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,100690.0,102960.0,2013-06-30,be_bs_30.06.2013.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,7362.0,7213.0,2013-06-30,be_bs_30.06.2013.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,95.0,81.0,2013-06-30,be_bs_30.06.2013.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,0.0,0.0,2013-06-30,be_bs_30.06.2013.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,2024.0,1736.0,2013-06-30,be_bs_30.06.2013.pdf,30,3,BALANCE_SHEET
Gjithsej pasuritë,159141.0,164719.0,2013-06-30,be_bs_30.06.2013.pdf,31,3,BALANCE_SHEET
Depozitat e klientëve,143506.0,147651.0,2013-06-30,be_bs_30.06.2013.pdf,32,3,BALANCE_SHEET
Detyrimet ndaj bankave,0.0,0.0,2013-06-30,be_bs_30.06.2013.pdf,33,3,BALANCE_SHEET
Fondet tjera të huazuara,0.0,0.0,2013-06-30,be_bs_30.06.2013.pdf,34,3,BALANCE_SHEET
Detyrimet tatimore të shtyra,0.0,0.0,2013-06-30,be_bs_30.06.2013.pdf,35,3,BALANCE_SHEET
Detyrimet tjera,3800.0,4000.0,2013-06-30,be_bs_30.06.2013.pdf,36,3,BALANCE_SHEET
Gjithsej detyrimet,147306.0,151651.0,2013-06-30,be_bs_30.06.2013.pdf,37,3,BALANCE_SHEET
Kapitali aksionar,14779.0,14779.0,2013-06-30,be_bs_30.06.2013.pdf,38,3,BALANCE_SHEET
Rezervat e kapitalit,101.0,101.0,2013-06-30,be_bs_30.06.2013.pdf,40,3,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,-3339.0,-3339.0,2013-06-30,be_bs_30.06.2013.pdf,41,3,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,294.0,1527.0,2013-06-30,be_bs_30.06.2013.pdf,42,3,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0.0,0.0,2013-06-30,be_bs_30.06.2013.pdf,43,3,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,11835.0,13068.0,2013-06-30,be_bs_30.06.2013.pdf,44,3,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,159141.0,164719.0,2013-06-30,be_bs_30.06.2013.pdf,45,3,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,22221.0,15601.0,2014-06-30,be_bs_30.06.2014.pdf,20,3,BALANCE_SHEET
Kërkesat ndaj bankave,6259.0,5588.0,2014-06-30,be_bs_30.06.2014.pdf,21,3,BALANCE_SHEET
Bonot e thesarit,27873.0,30120.0,2014-06-30,be_bs_30.06.2014.pdf,22,3,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,103651.0,104480.0,2014-06-30,be_bs_30.06.2014.pdf,26,3,BALANCE_SHEET
Patundshmëritë dhe pajisjet,6797.0,6771.0,2014-06-30,be_bs_30.06.2014.pdf,27,3,BALANCE_SHEET
Pasuritë e paprekshme,111.0,108.0,2014-06-30,be_bs_30.06.2014.pdf,28,3,BALANCE_SHEET
Pasuritë tatimore të shtyra,117.0,117.0,2014-06-30,be_bs_30.06.2014.pdf,29,3,BALANCE_SHEET
Pasuritë tjera,1488.0,1509.0,2014-06-30,be_bs_30.06.2014.pdf,30,3,BALANCE_SHEET
