INCOME_CATEGORY,PREVIOUS_INCOME_VALUE,CURRENT_INCOME_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Neto të hyrat nga interesi,1671.0,3499.0,2013-06-30,be_is_30.06.2013.pdf,3,3,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,562.0,1212.0,2013-06-30,be_is_30.06.2013.pdf,4,3,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,-311.0,-664.0,2013-06-30,be_is_30.06.2013.pdf,5,3,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,251.0,548.0,2013-06-30,be_is_30.06.2013.pdf,6,3,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0.0,0.0,2013-06-30,be_is_30.06.2013.pdf,7,3,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,31.0,65.0,2013-06-30,be_is_30.06.2013.pdf,8,3,INCOME_STATEMENT
Neto të hyrat (shpenzimet)  tjera operative,-1390.0,-2838.0,2013-06-30,be_is_30.06.2013.pdf,9,3,INCOME_STATEMENT
Gjithsej të hyrat,563.0,1274.0,2013-06-30,be_is_30.06.2013.pdf,10,3,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,-237.0,423.0,2013-06-30,be_is_30.06.2013.pdf,11,3,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,326.0,1697.0,2013-06-30,be_is_30.06.2013.pdf,14,3,INCOME_STATEMENT
Shpenzimet e tatimit në fitim,-32.0,-170.0,2013-06-30,be_is_30.06.2013.pdf,15,3,INCOME_STATEMENT
Fitimi/(humbja) neto,294.0,1527.0,2013-06-30,be_is_30.06.2013.pdf,16,3,INCOME_STATEMENT
Të ardhurat tjera gjithëpërfshirëse,0.0,0.0,2013-06-30,be_is_30.06.2013.pdf,17,3,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,294.0,1527.0,2013-06-30,be_is_30.06.2013.pdf,19,3,INCOME_STATEMENT
Neto të hyrat nga interesi,1715.0,3794.0,2014-06-30,be_is_30.06.2014.pdf,3,3,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,608.0,1287.0,2014-06-30,be_is_30.06.2014.pdf,4,3,INCOME_STATEMENT
