file_name,file_path,bs_current_name,is_current_name,reporting_date,creation_date,download_date,is_corrupt
508089_gjendja_e_bilancit_(shqip).pdf,be_financial_data\original\508089_gjendja_e_bilancit_(shqip).pdf,be_bs_31.12.2025.pdf,be_is_31.12.2025.pdf,31.12.2025,2026-01-21 15:02:03,2026-03-21 21:45:23.957726,0
122462_gjendja_e_bilancit_(shqip).pdf,be_financial_data\original\122462_gjendja_e_bilancit_(shqip).pdf,be_bs_30.09.2025.pdf,be_is_30.09.2025.pdf,30.09.2025,2025-10-21 10:15:43,2026-03-21 21:45:24.691769,0
328344_gjendja_e_bilancit_(shqip).pdf,be_financial_data\original\328344_gjendja_e_bilancit_(shqip).pdf,be_bs_30.06.2025.pdf,be_is_30.06.2025.pdf,30.06.2025,2025-07-21 10:35:32,2026-03-21 21:45:25.441086,0
271566_gjendja_e_bilancit_03_2025_(3).pdf,be_financial_data\original\271566_gjendja_e_bilancit_03_2025_(3).pdf,be_bs_31.03.2025.pdf,be_is_31.03.2025.pdf,31.03.2025,2025-04-24 10:35:42,2026-03-21 21:45:26.074605,0
319454_gjendja_e_bilancit_12_2024.pdf,be_financial_data\original\319454_gjendja_e_bilancit_12_2024.pdf,be_bs_31.12.2024.pdf,be_is_31.12.2024.pdf,31.12.2024,2025-04-24 10:53:57,2026-03-21 21:45:26.816147,0
852402_PUBLIKIMI_I_BILANCIT_SHQIP.pdf,be_financial_data\original\852402_PUBLIKIMI_I_BILANCIT_SHQIP.pdf,be_bs_30.09.2024.pdf,be_is_30.09.2024.pdf,30.09.2024,2024-10-22 14:01:06,2026-03-21 21:45:27.361059,0
334211_PUBLIKIMI_I_BILANCIT_shqip_30_06_24.pdf,be_financial_data\original\334211_PUBLIKIMI_I_BILANCIT_shqip_30_06_24.pdf,be_bs_30.06.2024.pdf,be_is_30.06.2024.pdf,30.06.2024,2024-07-24 10:03:04,2026-03-21 21:45:27.978800,0
747886_PUBLIKIMI_I_BILANCIT_SHQIP2.pdf,be_financial_data\original\747886_PUBLIKIMI_I_BILANCIT_SHQIP2.pdf,be_bs_31.03.2024.pdf,be_is_31.03.2024.pdf,31.03.2024,2024-04-29 11:32:19,2026-03-21 21:45:28.540126,0
389607_PUBLIKIMI_I_BILANCIT_SHQIP1.pdf,be_financial_data\original\389607_PUBLIKIMI_I_BILANCIT_SHQIP1.pdf,be_bs_31.12.2023.pdf,be_is_31.12.2023.pdf,31.12.2023,2024-04-29 11:32:54,2026-03-21 21:45:29.070715,0
203972_PUBLIKIMI_I_BILANCIT_SHQIP_(4).pdf,be_financial_data\original\203972_PUBLIKIMI_I_BILANCIT_SHQIP_(4).pdf,be_bs_30.09.2023.pdf,be_is_30.09.2023.pdf,30.09.2023,2023-10-19 13:51:32,2026-03-21 21:45:29.877492,0
270320_PUBLIKIMI_I_BILANCIT_SHQIP_31_06_23_(1).pdf,be_financial_data\original\270320_PUBLIKIMI_I_BILANCIT_SHQIP_31_06_23_(1).pdf,be_bs_30.06.2023.pdf,be_is_30.06.2023.pdf,30.06.2023,2023-07-26 09:30:56,2026-03-21 21:45:30.432056,0
659698_publikmi_i_bilancit_31_12_22.pdf,be_financial_data\original\659698_publikmi_i_bilancit_31_12_22.pdf,be_bs_31.12.2022.pdf,be_is_31.12.2022.pdf,31.12.2022,2023-04-25 13:12:35,2026-03-21 21:45:30.894730,0
90565_publikmi_i_bilancit_31_03_23.pdf,be_financial_data\original\90565_publikmi_i_bilancit_31_03_23.pdf,be_bs_31.03.2023.pdf,be_is_31.03.2023.pdf,31.03.2023,2023-04-25 13:07:23,2026-03-21 21:45:31.385206,0
731523_publikmi_i_bilancit_31.12.2022.pdf,be_financial_data\original\731523_publikmi_i_bilancit_31.12.2022.pdf,be_bs_31.12.2022.pdf,be_is_31.12.2022.pdf,31.12.2022,2023-01-20 11:13:19,2026-03-21 21:45:31.945296,0
128156_publikmi_i_bilancit_30_09_22_(1).pdf,be_financial_data\original\128156_publikmi_i_bilancit_30_09_22_(1).pdf,be_bs_30.09.2022.pdf,be_is_30.09.2022.pdf,30.09.2022,2022-10-21 14:39:54,2026-03-21 21:45:32.409863,0
938880_publikmi_i_bilancit_30_06_22_(2).pdf,be_financial_data\original\938880_publikmi_i_bilancit_30_06_22_(2).pdf,be_bs_30.06.2022.pdf,be_is_30.06.2022.pdf,30.06.2022,2022-07-19 15:38:12,2026-03-21 21:45:32.894725,0
63768_publikmi_i_bilancit_31_03_22_(3).pdf,be_financial_data\original\63768_publikmi_i_bilancit_31_03_22_(3).pdf,be_bs_31.03.2022.pdf,be_is_31.03.2022.pdf,31.03.2022,2022-07-15 10:43:32,2026-03-21 21:45:33.354496,0
