file_name,processed_date,status,reporting_date,current_name,is_corrupt
Pasqyrat-31.12.2025-per-tu-publikuar-ne-web-1.pdf,2026-03-21 21:53:11,1,31.12.2025,cre_bs_31.12.2025.pdf|cre_is_31.12.2025.pdf,0
Pasqyrat-30.09.2025-per-tu-publikuar-ne-web.pdf,2026-03-21 21:53:12,1,30.09.2025,cre_bs_30.09.2025.pdf|cre_is_30.09.2025.pdf,0
Pasqyrat-30.06.2025-per-tu-publikuar-ne-web.pdf,2026-03-21 21:53:13,1,30.06.2025,cre_bs_30.06.2025.pdf|cre_is_30.06.2025.pdf,0
Pasqyrat-31.03.2025-per-tu-publikuar-ne-web-pas-auditimit.pdf,2026-03-21 21:53:13,1,31.03.2025,cre_bs_31.03.2025.pdf|cre_is_31.03.2025.pdf,0
Pasqyrat-31.12.2024-per-tu-publikuar-ne-web-pas-audimit.pdf,2026-03-21 21:53:14,1,31.12.2024,cre_bs_31.12.2024.pdf|cre_is_31.12.2024.pdf,0
Pasqyrat-financiare-per-web-30.09.2024.pdf,2026-03-21 21:53:15,1,30.09.2024,cre_bs_30.09.2024.pdf|cre_is_30.09.2024.pdf,0
Pasqyrat-30.06.2024-per-tu-publikuar-ne-web-final.xlsx,2026-03-21 21:53:15,1,30.06.2024,cre_bs_30.06.2024.xlsx|cre_is_30.06.2024.xlsx,0
Pasqyrat-31.03.2024-per-tu-publikuar-ne-web-pas-auditimit.xlsx,2026-03-21 21:53:16,1,31.03.2024,cre_bs_31.03.2024.xlsx|cre_is_31.03.2024.xlsx,0
Pasqyrat-31.12.2023-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:16,1,31.12.2023,cre_bs_31.12.2023.xlsx|cre_is_31.12.2023.xlsx,0
Pasqyrat-30.09.2023-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:17,1,30.09.2023,cre_bs_30.09.2023.xlsx|cre_is_30.09.2023.xlsx,0
Pasqyrat-30.06.2023-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:17,1,30.06.2023,cre_bs_30.06.2023.xlsx|cre_is_30.06.2023.xlsx,0
Pasqyrat-31.03.2023-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:18,1,31.03.2023,cre_bs_31.03.2023.xlsx|cre_is_31.03.2023.xlsx,0
BCK-Pasqyrat-31.12.2022.xlsx,2026-03-21 21:53:18,1,31.12.2022,cre_bs_31.12.2022.xlsx|cre_is_31.12.2022.xlsx,0
9.-Pasqyrat-30.09.2022.xlsx,2026-03-21 21:53:19,1,30.09.2022,cre_bs_30.09.2022.xlsx|cre_is_30.09.2022.xlsx,0
Pasqyrat-30.06.2022-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:19,1,30.06.2022,cre_bs_30.06.2022.xlsx|cre_is_30.06.2022.xlsx,0
Pasqyrat-31.03.2022-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:20,1,31.03.2022,cre_bs_31.03.2022.xlsx|cre_is_31.03.2022.xlsx,0
12.-Pasqyrat-31.12.2021-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:21,1,31.12.2021,cre_bs_31.12.2021.xlsx|cre_is_31.12.2021.xlsx,0
9.-Pasqyrat-30.09.2021-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:21,1,30.09.2021,cre_bs_30.09.2021.xlsx|cre_is_30.09.2021.xlsx,0
6.-Pasqyrat-30.06.2021-per-tu-publikuar-ne-web-A.G.xlsx,2026-03-21 21:53:22,1,30.06.2021,cre_bs_30.06.2021.xlsx|cre_is_30.06.2021.xlsx,0
Pasqyrat-31.03.2021-per-tu-publikuar-ne-web.xlsx,2026-03-21 21:53:22,1,31.03.2021,cre_bs_31.03.2021.xlsx|cre_is_31.03.2021.xlsx,0
