BALANCE_CATEGORY,PREVIOUS_BALANCE_VALUE,CURRENT_BALANCE_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Paraja e gatshme dhe gjendja me BQK-në,10,8,2015-03-31,zba_bs_31.12.2015.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,55,102,2015-03-31,zba_bs_31.12.2015.pdf,21,9,BALANCE_SHEET
Bonot e thesarit,0,0,2015-03-31,zba_bs_31.12.2015.pdf,22,9,BALANCE_SHEET
Investimet në letra me vlerë,0,0,2015-03-31,zba_bs_31.12.2015.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,0,978,2015-03-31,zba_bs_31.12.2015.pdf,26,9,BALANCE_SHEET
Patundshmëritë dhe pajisjet,637,384,2015-03-31,zba_bs_31.12.2015.pdf,27,9,BALANCE_SHEET
Pasuritë e paprekshme,494,760,2015-03-31,zba_bs_31.12.2015.pdf,28,9,BALANCE_SHEET
Pasuritë tatimore të shtyra,0,0,2015-03-31,zba_bs_31.12.2015.pdf,29,9,BALANCE_SHEET
Pasuritë tjera,0,241,2015-03-31,zba_bs_31.12.2015.pdf,30,9,BALANCE_SHEET
Gjithsej pasuritë,11,11,2015-03-31,zba_bs_31.12.2015.pdf,31,9,BALANCE_SHEET
Depozitat e klientëve,13,1,2015-03-31,zba_bs_31.12.2015.pdf,32,9,BALANCE_SHEET
Detyrimet ndaj bankave,0,0,2015-03-31,zba_bs_31.12.2015.pdf,33,9,BALANCE_SHEET
Fondet tjera të huazuara,0,0,2015-03-31,zba_bs_31.12.2015.pdf,34,9,BALANCE_SHEET
Detyrimet tatimore të shtyra,0,0,2015-03-31,zba_bs_31.12.2015.pdf,35,9,BALANCE_SHEET
Detyrimet tjera,1,17,2015-03-31,zba_bs_31.12.2015.pdf,36,9,BALANCE_SHEET
Gjithsej detyrimet,1,1,2015-03-31,zba_bs_31.12.2015.pdf,37,9,BALANCE_SHEET
Kapitali aksionar,10,10,2015-03-31,zba_bs_31.12.2015.pdf,38,9,BALANCE_SHEET
Rezervat e kapitalit,0,0,2015-03-31,zba_bs_31.12.2015.pdf,40,9,BALANCE_SHEET
Fitimi i mbajtur/(humbja) nga vitet paraprake,0,0,2015-03-31,zba_bs_31.12.2015.pdf,41,9,BALANCE_SHEET
Fitimi/(humbja) e vitit aktual,133,414,2015-03-31,zba_bs_31.12.2015.pdf,42,9,BALANCE_SHEET
Përbërësit tjerë të ekuitetit,0,0,2015-03-31,zba_bs_31.12.2015.pdf,43,9,BALANCE_SHEET
Gjithsej ekuiteti i aksionarëve,10,10,2015-03-31,zba_bs_31.12.2015.pdf,44,9,BALANCE_SHEET
Gjithsej detyrimet dhe ekuiteti i aksionarëve,11,11,2015-03-31,zba_bs_31.12.2015.pdf,45,9,BALANCE_SHEET
Paraja e gatshme dhe gjendja me BQK-në,8,6,2015-06-30,zba_bs_31.12.2015.pdf,20,9,BALANCE_SHEET
Kërkesat ndaj bankave,102,46,2015-06-30,zba_bs_31.12.2015.pdf,21,9,BALANCE_SHEET
Bonot e thesarit,0,0,2015-06-30,zba_bs_31.12.2015.pdf,22,9,BALANCE_SHEET
Investimet në letra me vlerë,0,3,2015-06-30,zba_bs_31.12.2015.pdf,23,9,BALANCE_SHEET
Kreditë dhe paradhëniet ndaj klientëve,978,2,2015-06-30,zba_bs_31.12.2015.pdf,26,9,BALANCE_SHEET
