INCOME_CATEGORY,PREVIOUS_INCOME_VALUE,CURRENT_INCOME_VALUE,DT_REPORT,FILE_NAME,CATEGORY_CODE,BANK_ID,STATEMENT_TYPE
Gjithsej të hyrat,0,133,2015-03-31,zba_is_31.12.2015.pdf,10,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,0,133,2015-03-31,zba_is_31.12.2015.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,0,133,2015-03-31,zba_is_31.12.2015.pdf,16,9,INCOME_STATEMENT
Gjithsej të hyrat,0,404,2015-06-30,zba_is_31.12.2015.pdf,10,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,0,414,2015-06-30,zba_is_31.12.2015.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,0,414,2015-06-30,zba_is_31.12.2015.pdf,16,9,INCOME_STATEMENT
Shpenzimet e interesit,0,4,2016-03-31,zba_is_31.12.2016.pdf,2,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,0,5,2016-03-31,zba_is_31.12.2016.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,0,1,2016-03-31,zba_is_31.12.2016.pdf,6,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,0,691,2016-03-31,zba_is_31.12.2016.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,0,661,2016-03-31,zba_is_31.12.2016.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,0,16,2016-03-31,zba_is_31.12.2016.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,0,677,2016-03-31,zba_is_31.12.2016.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,0,677,2016-03-31,zba_is_31.12.2016.pdf,16,9,INCOME_STATEMENT
Shpenzimet e interesit,0,3,2016-06-30,zba_is_31.12.2016.pdf,2,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,0,1,2016-06-30,zba_is_31.12.2016.pdf,5,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,0,212,2016-06-30,zba_is_31.12.2016.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,0,167,2016-06-30,zba_is_31.12.2016.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,0,6,2016-06-30,zba_is_31.12.2016.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,0,172,2016-06-30,zba_is_31.12.2016.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,0,172,2016-06-30,zba_is_31.12.2016.pdf,16,9,INCOME_STATEMENT
Të hyrat nga interesi,106,222,2016-09-30,zba_is_31.12.2016.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,16,35,2016-09-30,zba_is_31.12.2016.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,90,187,2016-09-30,zba_is_31.12.2016.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,13,20,2016-09-30,zba_is_31.12.2016.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,3,6,2016-09-30,zba_is_31.12.2016.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,10,14,2016-09-30,zba_is_31.12.2016.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,2,2016-09-30,zba_is_31.12.2016.pdf,7,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,439,702,2016-09-30,zba_is_31.12.2016.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,339,499,2016-09-30,zba_is_31.12.2016.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,43,58,2016-09-30,zba_is_31.12.2016.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,382,557,2016-09-30,zba_is_31.12.2016.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,382,557,2016-09-30,zba_is_31.12.2016.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,382,557,2016-09-30,zba_is_31.12.2016.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,222,374,2016-12-31,zba_is_31.12.2016.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,35,57,2016-12-31,zba_is_31.12.2016.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,187,318,2016-12-31,zba_is_31.12.2016.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,20,17,2016-12-31,zba_is_31.12.2016.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,6,8,2016-12-31,zba_is_31.12.2016.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,14,9,2016-12-31,zba_is_31.12.2016.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,2,2,2016-12-31,zba_is_31.12.2016.pdf,7,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,702,974,2016-12-31,zba_is_31.12.2016.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,499,646,2016-12-31,zba_is_31.12.2016.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,58,73,2016-12-31,zba_is_31.12.2016.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,557,719,2016-12-31,zba_is_31.12.2016.pdf,14,9,INCOME_STATEMENT
Shpenzimet e tatimit në fitim,0,79,2016-12-31,zba_is_31.12.2016.pdf,15,9,INCOME_STATEMENT
Fitimi/(humbja) neto,557,640,2016-12-31,zba_is_31.12.2016.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,557,640,2016-12-31,zba_is_31.12.2016.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,374,167,2017-03-31,zba_is_31.12.2017.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,57,24,2017-03-31,zba_is_31.12.2017.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,318,143,2017-03-31,zba_is_31.12.2017.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,17,4,2017-03-31,zba_is_31.12.2017.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,8,2,2017-03-31,zba_is_31.12.2017.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,9,2,2017-03-31,zba_is_31.12.2017.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,2,0,2017-03-31,zba_is_31.12.2017.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,0,0,2017-03-31,zba_is_31.12.2017.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,974,231,2017-03-31,zba_is_31.12.2017.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,646,86,2017-03-31,zba_is_31.12.2017.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,73,31,2017-03-31,zba_is_31.12.2017.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,719,117,2017-03-31,zba_is_31.12.2017.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,640,117,2017-03-31,zba_is_31.12.2017.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,640,117,2017-03-31,zba_is_31.12.2017.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,167,375,2017-06-30,zba_is_31.12.2017.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,24,60,2017-06-30,zba_is_31.12.2017.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,143,314,2017-06-30,zba_is_31.12.2017.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,4,11,2017-06-30,zba_is_31.12.2017.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,2,6,2017-06-30,zba_is_31.12.2017.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,2,5,2017-06-30,zba_is_31.12.2017.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,0,2017-06-30,zba_is_31.12.2017.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,0,0,2017-06-30,zba_is_31.12.2017.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,231,500,2017-06-30,zba_is_31.12.2017.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,86,180,2017-06-30,zba_is_31.12.2017.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,31,35,2017-06-30,zba_is_31.12.2017.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,117,215,2017-06-30,zba_is_31.12.2017.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,117,215,2017-06-30,zba_is_31.12.2017.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,117,215,2017-06-30,zba_is_31.12.2017.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,375,582,2017-09-30,zba_is_31.12.2017.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,60,104,2017-09-30,zba_is_31.12.2017.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,314,478,2017-09-30,zba_is_31.12.2017.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,11,16,2017-09-30,zba_is_31.12.2017.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,6,10,2017-09-30,zba_is_31.12.2017.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,5,6,2017-09-30,zba_is_31.12.2017.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,0,2017-09-30,zba_is_31.12.2017.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,0,2,2017-09-30,zba_is_31.12.2017.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,500,760,2017-09-30,zba_is_31.12.2017.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,180,274,2017-09-30,zba_is_31.12.2017.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,35,40,2017-09-30,zba_is_31.12.2017.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,215,314,2017-09-30,zba_is_31.12.2017.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,215,314,2017-09-30,zba_is_31.12.2017.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,215,314,2017-09-30,zba_is_31.12.2017.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,582,800,2017-12-31,zba_is_31.12.2017.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,104,150,2017-12-31,zba_is_31.12.2017.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,478,650,2017-12-31,zba_is_31.12.2017.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,16,22,2017-12-31,zba_is_31.12.2017.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,10,13,2017-12-31,zba_is_31.12.2017.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,6,9,2017-12-31,zba_is_31.12.2017.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,0,2,2017-12-31,zba_is_31.12.2017.pdf,7,9,INCOME_STATEMENT
Neto të hyrat nga instrumentet tjera financiare,2,0,2017-12-31,zba_is_31.12.2017.pdf,8,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,760,1041,2017-12-31,zba_is_31.12.2017.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,274,379,2017-12-31,zba_is_31.12.2017.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,40,80,2017-12-31,zba_is_31.12.2017.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,314,459,2017-12-31,zba_is_31.12.2017.pdf,14,9,INCOME_STATEMENT
Fitimi/(humbja) neto,314,459,2017-12-31,zba_is_31.12.2017.pdf,16,9,INCOME_STATEMENT
Gjithsej të ardhurat gjithëpërfshirëse,314,459,2017-12-31,zba_is_31.12.2017.pdf,19,9,INCOME_STATEMENT
Të hyrat nga interesi,792,238,2018-03-31,zba_is_31.12.2018.pdf,1,9,INCOME_STATEMENT
Shpenzimet e interesit,154,44,2018-03-31,zba_is_31.12.2018.pdf,2,9,INCOME_STATEMENT
Neto të hyrat nga interesi,637,194,2018-03-31,zba_is_31.12.2018.pdf,3,9,INCOME_STATEMENT
Të hyrat nga tarifat dhe komisionet,31,6,2018-03-31,zba_is_31.12.2018.pdf,4,9,INCOME_STATEMENT
Shpenzimet e tarifave dhe komisioneve,13,2,2018-03-31,zba_is_31.12.2018.pdf,5,9,INCOME_STATEMENT
Neto të hyrat nga tarifat dhe komisionet,18,3,2018-03-31,zba_is_31.12.2018.pdf,6,9,INCOME_STATEMENT
Neto të hyrat nga tregtimi,2,3,2018-03-31,zba_is_31.12.2018.pdf,7,9,INCOME_STATEMENT
Neto të hyrat (shpenzimet) tjera operative,1041,275,2018-03-31,zba_is_31.12.2018.pdf,9,9,INCOME_STATEMENT
Gjithsej të hyrat,384,75,2018-03-31,zba_is_31.12.2018.pdf,10,9,INCOME_STATEMENT
Provizionet për humbjet nga kreditë,80,0,2018-03-31,zba_is_31.12.2018.pdf,12,9,INCOME_STATEMENT
Fitimi/(humbja) para tatimit,464,76,2018-03-31,zba_is_31.12.2018.pdf,14,9,INCOME_STATEMENT
